날짜,후라이드치킨,양념치킨,간장치킨,깐풍치킨,탕수치킨,어니언치킨,감자튀김,똥집튀김,소주,맥주,음료수(소),음료수(대),총매출
2023-11-26,36000,19000,0,0,19000,0,6000,10000,4000,0,0,0,94000
2023-11-27,126000,0,0,0,0,0,0,0,0,0,0,0,126000
2023-11-28,72000,19000,0,0,38000,0,0,0,0,0,0,0,129000
2023-11-29,324000,0,0,0,19000,19000,0,0,0,0,0,0,362000
2023-11-30,72000,76000,19000,0,0,0,6000,10000,4000,0,2000,3500,192500
2023-12-01,18000,19000,19000,19000,0,19000,0,0,0,0,6000,0,100000
2023-12-02,36000,95000,38000,38000,57000,19000,6000,10000,4000,0,0,0,303000
2023-12-03,54000,57000,19000,19000,19000,0,6000,10000,4000,0,0,0,188000
2023-12-04,72000,19000,0,19000,0,0,0,0,40000,4000,0,0,154000
2023-12-05,36000,95000,38000,38000,57000,19000,6000,10000,4000,0,0,0,303000
2023-12-06,72000,19000,38000,19000,19000,38000,6000,10000,16000,0,2000,10500,249500
2023-12-07,108000,76000,57000,38000,0,0,12000,10000,8000,0,12000,10500,331500
2023-12-07,180000,114000,0,38000,38000,0,0,0,0,0,0,0,370000
